kpi_metric_id,task_id,resource_ids,task_weight,resource_weight
1,1,"[1, 2, 3, 4, 5]",0.6752375222460395,"[0.11807923763990402, 0.07257431745529175, 0.13022541999816895, 0.2702261507511139, 0.4109717309474945]"
1,2,"[1, 2, 3, 4, 5]",0.3161825345745782,"[0.13810017704963684, 0.044490449130535126, 0.34215840697288513, 0.26331931352615356, 0.2417987734079361]"
1,3,"[1, 2, 3, 4, 5]",0.0085799431793823,"[0.08997135609388351, 0.22780732810497284, 0.28503933548927307, 0.2622981369495392, 0.173814594745636]"
2,4,"[1, 2, 3, 4, 5]",0.1378044129906398,"[0.146732896566391, 0.18293547630310059, 0.1568169742822647, 0.28666743636131287, 0.2629239559173584]"
2,5,"[1, 2, 3, 4, 5]",0.4585229737335983,"[0.2613910138607025, 0.0928463488817215, 0.2564733326435089, 0.1592578887939453, 0.23280231654644012]"
2,6,"[1, 2, 3, 4, 5]",0.4036726132757616,"[0.29280516505241394, 0.10381484776735306, 0.07045853137969971, 0.2624548077583313, 0.29121360182762146]"
3,7,"[1, 2, 3, 4, 5]",0.3090325613742907,"[0.25308603048324585, 0.055598702281713486, 0.17505890130996704, 0.2946666181087494, 0.23670238256454468]"
3,8,"[1, 2, 3, 4, 5]",0.3210950935455269,"[0.2567857801914215, 0.11127638816833496, 0.2757236957550049, 0.1408112496137619, 0.2288239449262619]"
3,9,"[1, 2, 3, 4, 5]",0.3698723450801823,"[0.08740699291229248, 0.24366635084152222, 0.24804335832595825, 0.24999088048934937, 0.18636243045330048]"
4,10,"[1, 2, 3, 4, 5]",0.0294858337199589,"[0.10508424788713455, 0.23386713862419128, 0.14588887989521027, 0.2776851952075958, 0.2433125078678131]"
4,11,"[1, 2, 3, 4, 5]",0.2309409552928375,"[0.20620647072792053, 0.13972333073616028, 0.14411146938800812, 0.2941373586654663, 0.2179664969444275]"
4,12,"[1, 2, 3, 4, 5]",0.7395732109872034,"[0.17764335870742798, 0.14063286781311035, 0.13983279466629028, 0.27389320731163025, 0.2680779993534088]"
5,13,"[1, 2, 3, 4, 5]",0.6332810551473241,"[0.29494646191596985, 0.31358420848846436, 0.19936586916446686, 0.12832249701023102, 0.10914480686187744]"
5,14,"[1, 2, 3, 4, 5]",0.2846026256936565,"[0.07707998156547546, 0.10605831444263458, 0.2911628484725952, 0.36825108528137207, 0.15874218940734863]"
5,15,"[1, 2, 3, 4, 5]",0.0821163191590192,"[0.12351444363594055, 0.2223585844039917, 0.3321414887905121, 0.26148486137390137, 0.06447193026542664]"
6,16,"[1, 2, 3, 4, 5]",0.3084901942302247,"[0.3121471703052521, 0.20081967115402222, 0.2839670777320862, 0.1487802267074585, 0.09258781373500824]"
6,17,"[1, 2, 3, 4, 5]",0.2268726125607512,"[0.1663529872894287, 0.17291662096977234, 0.2084812968969345, 0.2706100344657898, 0.18359827995300293]"
6,18,"[1, 2, 3, 4, 5]",0.4646371932090241,"[0.06622017174959183, 0.2567797601222992, 0.2597843110561371, 0.3279602825641632, 0.11686147749423981]"
