KPI_Metric_Id,Task_ID,Resource_IDs,Durations_Resource_IDs,Task_Weight
1,1,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","[61.75, 34.75, 3.5, 5.75, 66.75, 18.75, 7.0, 11.0, 60.25, 15.0, 67.5, 5.0, 71.0, 37.25, 69.25, 46.0, 71.75, 35.5, 51.75, 16.0]",0.22194188077285462
1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","[69.75, 63.25, 42.0, 55.25, 32.25, 47.5, 47.0, 6.25, 9.75, 55.75, 21.0, 31.25, 17.75, 70.0, 37.75, 44.75, 13.5, 37.75, 18.75, 56.0]",0.16574092901395449
1,3,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","[48.75, 25.5, 61.25, 5.0, 19.5, 42.25, 59.25, 9.5, 31.5, 22.25, 25.0, 39.5, 25.75, 67.5, 19.5, 4.0, 34.0, 68.75, 52.0, 10.75]",0.4509756208732486
1,4,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","[67.5, 20.75, 35.25, 36.25, 7.0, 6.5, 59.0, 17.5, 28.25, 24.25, 14.5, 16.25, 38.5, 42.5, 51.75, 4.25, 46.5, 49.75, 7.0, 56.25]",0.1613415693399423
2,5,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","[68.0, 7.5, 45.5, 74.75, 35.75, 58.75, 37.5, 64.75, 55.25, 67.75, 61.25, 41.75, 18.75, 41.5, 62.25, 31.25, 35.5, 44.0, 19.25, 55.5]",0.21480268288354118
2,6,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","[65.25, 33.75, 52.75, 25.75, 9.0, 58.5, 35.25, 7.5, 11.25, 62.25, 23.75, 58.0, 33.5, 34.5, 4.5, 21.5, 26.5, 47.25, 39.25, 7.0]",0.43789529467963545
2,7,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","[71.0, 23.75, 57.5, 70.25, 20.25, 30.5, 31.25, 28.5, 26.5, 7.75, 47.75, 19.5, 32.0, 52.25, 38.0, 43.75, 25.25, 15.5, 3.75, 19.5]",0.07322016684947272
2,8,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","[43.75, 8.0, 60.25, 0.25, 39.5, 66.75, 75.0, 56.75, 40.5, 61.75, 59.75, 46.5, 42.25, 47.25, 47.5, 67.0, 14.75, 46.0, 12.0, 32.0]",0.2740818555873507
3,9,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","[26.25, 61.0, 36.25, 39.5, 58.75, 41.5, 35.0, 27.25, 45.0, 8.0, 69.75, 73.5, 14.5, 12.0, 28.0, 48.5, 32.75, 4.5, 10.75, 43.25]",0.5634087828773706
3,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","[47.0, 14.5, 15.25, 34.0, 73.25, 11.0, 62.0, 64.75, 35.25, 20.75, 16.0, 46.75, 9.0, 47.75, 8.5, 27.25, 12.75, 6.25, 62.0, 2.5]",0.351367840439672
3,11,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","[14.5, 55.0, 28.75, 61.25, 65.75, 60.25, 64.75, 42.5, 61.75, 73.5, 28.25, 4.5, 39.25, 6.75, 46.0, 33.25, 14.25, 17.0, 46.25, 51.25]",0.02068956282720317
3,12,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","[6.25, 56.25, 52.0, 27.25, 7.75, 49.75, 17.25, 2.25, 33.0, 75.0, 73.75, 40.0, 55.25, 63.0, 10.5, 28.0, 70.0, 14.0, 69.5, 45.5]",0.06453381385575407
4,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","[57.0, 27.25, 29.75, 19.0, 9.75, 19.0, 2.5, 22.25, 46.0, 43.5, 60.0, 66.5, 11.25, 46.5, 37.5, 17.5, 39.75, 37.5, 22.25, 69.25]",0.2129466568573007
4,14,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","[32.25, 25.75, 64.75, 19.25, 64.0, 2.5, 49.75, 58.75, 63.5, 23.0, 23.5, 55.0, 26.75, 65.5, 63.75, 29.5, 50.0, 64.0, 59.75, 35.5]",0.46875017235533306
4,15,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","[55.75, 69.5, 39.25, 18.75, 24.0, 36.0, 67.25, 9.0, 20.25, 11.75, 58.25, 66.25, 44.25, 53.5, 65.5, 35.0, 63.5, 53.5, 1.75, 22.0]",0.20611207700732545
4,16,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","[8.25, 14.75, 62.75, 71.0, 75.0, 0.25, 29.75, 65.0, 42.5, 11.0, 22.75, 55.75, 11.0, 10.75, 5.25, 7.5, 72.75, 5.75, 63.0, 55.0]",0.11219109378004083
5,17,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","[65.5, 50.25, 64.25, 6.25, 53.5, 45.0, 32.0, 28.75, 28.5, 49.25, 44.25, 29.5, 16.5, 14.0, 46.5, 58.25, 6.75, 65.5, 22.75, 13.75]",0.36546859766840956
5,18,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","[71.25, 62.25, 58.25, 23.0, 2.0, 59.75, 24.75, 45.75, 24.25, 43.25, 31.75, 10.0, 26.75, 63.75, 33.75, 65.0, 65.25, 30.25, 22.0, 60.25]",0.3093843106702151
5,19,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","[33.0, 73.0, 26.75, 1.0, 53.25, 31.75, 33.25, 40.0, 38.0, 51.25, 15.0, 43.0, 33.0, 5.5, 71.75, 20.25, 26.5, 24.25, 66.5, 64.75]",0.15771829136613424
