task_id,task_type,description,pre_tasks,requirements,affected_factors
1,Type C,Description task 1,"[77, 7, 38, 75, 65, 71, 55, 61, 19, 2, 11, 23, 33, 79, 26, 47, 8, 4, 30, 43, 68, 64, 20, 56, 32, 66, 57, 14, 42, 39, 76, 29, 62, 78, 15, 46, 45, 9, 35, 40, 58, 80, 54, 51, 69, 22, 44, 27, 70, 16, 59, 31, 6, 50, 28, 63, 73, 24, 52, 34]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 3], [2, ""Product"", 4], [3, ""Product"", 3], [4, ""Product"", 5], [5, ""Product"", 1], [6, ""Product"", 4], [7, ""Product"", 4], [8, ""Product"", 3], [9, ""Product"", 5], [10, ""Product"", 4], [11, ""Environment"", 2], [12, ""Environment"", 3], [13, ""Environment"", 1], [14, ""Environment"", 5], [15, ""Environment"", 2], [16, ""Environment"", 5], [17, ""Environment"", 5], [18, ""Environment"", 1], [19, ""Environment"", 5], [20, ""Environment"", 2]]"
2,Type C,Description task 2,"[50, 35, 62, 77, 23, 44, 34, 43, 72, 8, 33, 78, 24, 51, 29, 48, 32, 46, 47, 37, 70, 14, 42, 15, 10, 17, 30, 38, 18, 27, 31, 68, 67, 63, 1, 36, 21, 7, 55, 53, 4, 3, 74, 56, 69, 61, 25, 11, 20, 65, 41, 71, 57, 45, 52, 6, 58, 26, 60, 64]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 1], [2, ""Product"", 2], [3, ""Product"", 2], [4, ""Product"", 5], [5, ""Product"", 1], [6, ""Product"", 4], [7, ""Product"", 1], [8, ""Product"", 1], [9, ""Product"", 2], [10, ""Product"", 5], [11, ""Environment"", 3], [12, ""Environment"", 5], [13, ""Environment"", 4], [14, ""Environment"", 2], [15, ""Environment"", 2], [16, ""Environment"", 4], [17, ""Environment"", 1], [18, ""Environment"", 2], [19, ""Environment"", 2], [20, ""Environment"", 1]]"
3,Type C,Description task 3,"[55, 53, 10, 18, 8, 62, 77, 61, 44, 29, 30, 2, 48, 21, 39, 11, 51, 46, 37, 45, 20, 63, 23, 56, 68, 33, 40, 73, 64, 14, 16, 59, 9, 80, 71, 5, 76, 75, 27, 42, 72, 65, 28, 6, 47, 79, 31, 25, 36, 4, 15, 7, 13, 24, 35, 54, 43, 26, 50, 78]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 1], [2, ""Product"", 1], [3, ""Product"", 1], [4, ""Product"", 3], [5, ""Product"", 5], [6, ""Product"", 5], [7, ""Product"", 4], [8, ""Product"", 3], [9, ""Product"", 2], [10, ""Product"", 3], [11, ""Environment"", 1], [12, ""Environment"", 4], [13, ""Environment"", 2], [14, ""Environment"", 1], [15, ""Environment"", 4], [16, ""Environment"", 2], [17, ""Environment"", 4], [18, ""Environment"", 5], [19, ""Environment"", 1], [20, ""Environment"", 3]]"
4,Type B,Description task 4,"[46, 11, 31, 17, 26, 21, 74, 3, 57, 62, 71, 72, 76, 6, 28, 35, 75, 9, 69, 40, 2, 12, 18, 59, 25, 16, 44, 1, 13, 22, 70, 45, 63, 61, 32, 66, 20, 64, 33, 78, 60, 39, 24, 42, 54, 30, 27, 8, 7, 77, 41, 37, 73, 10, 67, 48, 80, 29, 79, 34]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 1], [2, ""Product"", 3], [3, ""Product"", 5], [4, ""Product"", 5], [5, ""Product"", 5], [6, ""Product"", 5], [7, ""Product"", 5], [8, ""Product"", 3], [9, ""Product"", 5], [10, ""Product"", 4], [11, ""Environment"", 4], [12, ""Environment"", 1], [13, ""Environment"", 1], [14, ""Environment"", 2], [15, ""Environment"", 1], [16, ""Environment"", 3], [17, ""Environment"", 5], [18, ""Environment"", 1], [19, ""Environment"", 4], [20, ""Environment"", 1]]"
5,Type B,Description task 5,"[25, 38, 39, 22, 57, 71, 32, 24, 16, 80, 20, 60, 23, 30, 62, 55, 75, 54, 27, 49, 1, 61, 26, 3, 65, 45, 14, 64, 7, 37, 28, 47, 46, 43, 40, 2, 9, 11, 78, 48, 41, 21, 59, 69, 33, 36, 12, 4, 51, 58, 19, 10, 70, 35, 53, 77, 76, 67, 73, 17]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 5], [2, ""Product"", 3], [3, ""Product"", 3], [4, ""Product"", 4], [5, ""Product"", 3], [6, ""Product"", 3], [7, ""Product"", 1], [8, ""Product"", 5], [9, ""Product"", 5], [10, ""Product"", 5], [11, ""Environment"", 2], [12, ""Environment"", 1], [13, ""Environment"", 3], [14, ""Environment"", 2], [15, ""Environment"", 4], [16, ""Environment"", 1], [17, ""Environment"", 3], [18, ""Environment"", 2], [19, ""Environment"", 5], [20, ""Environment"", 2]]"
6,Type C,Description task 6,"[22, 28, 62, 46, 30, 44, 18, 56, 24, 41, 13, 54, 75, 48, 15, 52, 20, 65, 60, 5, 21, 35, 45, 7, 33, 34, 17, 50, 51, 57, 1, 78, 26, 73, 55, 42, 53, 12, 72, 23, 43, 2, 40, 36, 71, 11, 16, 59, 49, 64, 37, 4, 74, 14, 80, 32, 19, 3, 47, 69]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 4], [2, ""Product"", 3], [3, ""Product"", 2], [4, ""Product"", 4], [5, ""Product"", 5], [6, ""Product"", 3], [7, ""Product"", 3], [8, ""Product"", 1], [9, ""Product"", 4], [10, ""Product"", 5], [11, ""Environment"", 4], [12, ""Environment"", 4], [13, ""Environment"", 2], [14, ""Environment"", 5], [15, ""Environment"", 2], [16, ""Environment"", 4], [17, ""Environment"", 1], [18, ""Environment"", 3], [19, ""Environment"", 3], [20, ""Environment"", 2]]"
7,Type C,Description task 7,"[60, 66, 39, 20, 79, 9, 17, 48, 30, 33, 55, 43, 44, 34, 32, 14, 61, 35, 62, 19, 25, 21, 16, 38, 12, 2, 57, 78, 75, 73, 11, 64, 6, 26, 36, 67, 3, 74, 28, 63, 51, 41, 59, 1, 5, 77, 47, 72, 45, 50, 71, 80, 49, 37, 15, 18, 13, 54, 24, 40]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 2], [2, ""Product"", 2], [3, ""Product"", 1], [4, ""Product"", 5], [5, ""Product"", 4], [6, ""Product"", 4], [7, ""Product"", 4], [8, ""Product"", 1], [9, ""Product"", 2], [10, ""Product"", 1], [11, ""Environment"", 2], [12, ""Environment"", 1], [13, ""Environment"", 2], [14, ""Environment"", 5], [15, ""Environment"", 2], [16, ""Environment"", 1], [17, ""Environment"", 2], [18, ""Environment"", 4], [19, ""Environment"", 5], [20, ""Environment"", 4]]"
8,Type A,Description task 8,"[19, 23, 29, 5, 6, 48, 24, 1, 77, 25, 68, 40, 18, 4, 33, 74, 64, 44, 73, 70, 65, 13, 41, 42, 45, 50, 57, 15, 37, 69, 54, 60, 11, 63, 9, 79, 14, 16, 55, 10, 80, 17, 22, 56, 66, 7, 67, 28, 78, 21, 2, 61, 32, 12, 75, 36, 34, 53, 31, 52]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 2], [2, ""Product"", 1], [3, ""Product"", 2], [4, ""Product"", 1], [5, ""Product"", 4], [6, ""Product"", 4], [7, ""Product"", 5], [8, ""Product"", 5], [9, ""Product"", 5], [10, ""Product"", 5], [11, ""Environment"", 5], [12, ""Environment"", 1], [13, ""Environment"", 4], [14, ""Environment"", 4], [15, ""Environment"", 5], [16, ""Environment"", 2], [17, ""Environment"", 3], [18, ""Environment"", 2], [19, ""Environment"", 5], [20, ""Environment"", 1]]"
9,Type C,Description task 9,"[64, 30, 3, 56, 7, 16, 44, 4, 69, 21, 79, 71, 29, 36, 19, 65, 32, 67, 61, 40, 41, 28, 6, 55, 47, 49, 80, 50, 57, 20, 8, 76, 52, 11, 18, 23, 31, 51, 2, 68, 13, 58, 38, 53, 1, 77, 45, 34, 75, 62, 15, 70, 22, 33, 12, 73, 37, 43, 24, 46]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 3], [2, ""Product"", 1], [3, ""Product"", 4], [4, ""Product"", 3], [5, ""Product"", 2], [6, ""Product"", 1], [7, ""Product"", 3], [8, ""Product"", 1], [9, ""Product"", 5], [10, ""Product"", 4], [11, ""Environment"", 2], [12, ""Environment"", 2], [13, ""Environment"", 5], [14, ""Environment"", 2], [15, ""Environment"", 4], [16, ""Environment"", 4], [17, ""Environment"", 4], [18, ""Environment"", 1], [19, ""Environment"", 4], [20, ""Environment"", 3]]"
10,Type A,Description task 10,"[57, 70, 64, 68, 38, 80, 69, 26, 4, 7, 63, 71, 73, 78, 15, 20, 11, 60, 8, 31, 6, 45, 35, 77, 62, 27, 37, 49, 22, 9, 1, 43, 59, 48, 79, 76, 18, 16, 14, 32, 54, 56, 19, 17, 24, 30, 51, 47, 12, 66, 65, 46, 74, 44, 72, 75, 28, 33, 40, 29]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 4], [2, ""Product"", 5], [3, ""Product"", 3], [4, ""Product"", 3], [5, ""Product"", 3], [6, ""Product"", 4], [7, ""Product"", 3], [8, ""Product"", 5], [9, ""Product"", 1], [10, ""Product"", 1], [11, ""Environment"", 1], [12, ""Environment"", 1], [13, ""Environment"", 3], [14, ""Environment"", 1], [15, ""Environment"", 2], [16, ""Environment"", 2], [17, ""Environment"", 1], [18, ""Environment"", 4], [19, ""Environment"", 4], [20, ""Environment"", 4]]"
