task_id,task_type,description,pre_tasks,requirements,affected_factors
1,Type C,Description task 1,"[9, 14, 17, 16, 18, 8, 10, 2, 3, 11, 12, 4, 6, 7]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 2], [2, ""Product"", 3], [3, ""Product"", 5], [4, ""Product"", 1], [5, ""Product"", 3], [6, ""Product"", 5], [7, ""Product"", 5], [8, ""Product"", 5], [9, ""Product"", 2], [10, ""Product"", 5], [11, ""Environment"", 1], [12, ""Environment"", 1], [13, ""Environment"", 4], [14, ""Environment"", 5], [15, ""Environment"", 3], [16, ""Environment"", 2], [17, ""Environment"", 4], [18, ""Environment"", 5], [19, ""Environment"", 3], [20, ""Environment"", 2]]"
2,Type B,Description task 2,"[18, 8, 1, 15, 4, 7, 14, 10, 9, 12, 11, 5, 16, 6]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 2], [2, ""Product"", 1], [3, ""Product"", 5], [4, ""Product"", 2], [5, ""Product"", 3], [6, ""Product"", 2], [7, ""Product"", 4], [8, ""Product"", 1], [9, ""Product"", 5], [10, ""Product"", 2], [11, ""Environment"", 5], [12, ""Environment"", 2], [13, ""Environment"", 5], [14, ""Environment"", 3], [15, ""Environment"", 1], [16, ""Environment"", 5], [17, ""Environment"", 3], [18, ""Environment"", 4], [19, ""Environment"", 1], [20, ""Environment"", 4]]"
3,Type A,Description task 3,"[2, 6, 7, 18, 13, 17, 1, 15, 14, 10, 9, 11, 4, 5]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 3], [2, ""Product"", 5], [3, ""Product"", 2], [4, ""Product"", 5], [5, ""Product"", 5], [6, ""Product"", 4], [7, ""Product"", 2], [8, ""Product"", 2], [9, ""Product"", 1], [10, ""Product"", 2], [11, ""Environment"", 1], [12, ""Environment"", 4], [13, ""Environment"", 5], [14, ""Environment"", 4], [15, ""Environment"", 5], [16, ""Environment"", 4], [17, ""Environment"", 4], [18, ""Environment"", 5], [19, ""Environment"", 4], [20, ""Environment"", 5]]"
4,Type B,Description task 4,"[7, 3, 17, 10, 15, 1, 8, 14, 2, 18, 5, 12, 13, 11]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 1], [2, ""Product"", 4], [3, ""Product"", 4], [4, ""Product"", 3], [5, ""Product"", 4], [6, ""Product"", 5], [7, ""Product"", 3], [8, ""Product"", 4], [9, ""Product"", 1], [10, ""Product"", 1], [11, ""Environment"", 5], [12, ""Environment"", 3], [13, ""Environment"", 3], [14, ""Environment"", 5], [15, ""Environment"", 5], [16, ""Environment"", 2], [17, ""Environment"", 4], [18, ""Environment"", 2], [19, ""Environment"", 3], [20, ""Environment"", 1]]"
5,Type A,Description task 5,"[13, 9, 7, 3, 1, 2, 14, 17, 16, 18, 4, 6, 12, 8]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 1], [2, ""Product"", 2], [3, ""Product"", 4], [4, ""Product"", 2], [5, ""Product"", 3], [6, ""Product"", 1], [7, ""Product"", 5], [8, ""Product"", 2], [9, ""Product"", 2], [10, ""Product"", 3], [11, ""Environment"", 5], [12, ""Environment"", 1], [13, ""Environment"", 3], [14, ""Environment"", 4], [15, ""Environment"", 5], [16, ""Environment"", 3], [17, ""Environment"", 4], [18, ""Environment"", 3], [19, ""Environment"", 5], [20, ""Environment"", 4]]"
6,Type C,Description task 6,"[14, 17, 2, 7, 11, 9, 16, 3, 12, 8, 1, 10, 5, 15]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 4], [2, ""Product"", 2], [3, ""Product"", 4], [4, ""Product"", 1], [5, ""Product"", 5], [6, ""Product"", 2], [7, ""Product"", 5], [8, ""Product"", 1], [9, ""Product"", 3], [10, ""Product"", 1], [11, ""Environment"", 2], [12, ""Environment"", 5], [13, ""Environment"", 5], [14, ""Environment"", 2], [15, ""Environment"", 5], [16, ""Environment"", 5], [17, ""Environment"", 5], [18, ""Environment"", 3], [19, ""Environment"", 4], [20, ""Environment"", 1]]"
7,Type C,Description task 7,"[18, 2, 3, 8, 13, 1, 16, 15, 6, 12, 4, 10, 17, 5]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 2], [2, ""Product"", 1], [3, ""Product"", 1], [4, ""Product"", 1], [5, ""Product"", 2], [6, ""Product"", 3], [7, ""Product"", 4], [8, ""Product"", 2], [9, ""Product"", 4], [10, ""Product"", 4], [11, ""Environment"", 2], [12, ""Environment"", 3], [13, ""Environment"", 3], [14, ""Environment"", 1], [15, ""Environment"", 1], [16, ""Environment"", 3], [17, ""Environment"", 3], [18, ""Environment"", 3], [19, ""Environment"", 3], [20, ""Environment"", 3]]"
8,Type B,Description task 8,"[15, 18, 16, 2, 9, 10, 13, 12, 11, 4, 3, 7, 6, 17]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 5], [2, ""Product"", 3], [3, ""Product"", 4], [4, ""Product"", 4], [5, ""Product"", 5], [6, ""Product"", 4], [7, ""Product"", 2], [8, ""Product"", 3], [9, ""Product"", 5], [10, ""Product"", 4], [11, ""Environment"", 5], [12, ""Environment"", 1], [13, ""Environment"", 2], [14, ""Environment"", 4], [15, ""Environment"", 4], [16, ""Environment"", 1], [17, ""Environment"", 1], [18, ""Environment"", 5], [19, ""Environment"", 2], [20, ""Environment"", 3]]"
9,Type B,Description task 9,"[4, 18, 16, 15, 7, 14, 17, 1, 3, 12, 2, 6, 8, 5]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 5], [2, ""Product"", 4], [3, ""Product"", 4], [4, ""Product"", 4], [5, ""Product"", 4], [6, ""Product"", 4], [7, ""Product"", 2], [8, ""Product"", 4], [9, ""Product"", 5], [10, ""Product"", 2], [11, ""Environment"", 2], [12, ""Environment"", 5], [13, ""Environment"", 4], [14, ""Environment"", 5], [15, ""Environment"", 3], [16, ""Environment"", 4], [17, ""Environment"", 3], [18, ""Environment"", 3], [19, ""Environment"", 1], [20, ""Environment"", 4]]"
10,Type C,Description task 10,"[11, 7, 9, 14, 3, 6, 18, 4, 1, 2, 13, 8, 17, 16]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 2], [2, ""Product"", 2], [3, ""Product"", 4], [4, ""Product"", 3], [5, ""Product"", 5], [6, ""Product"", 3], [7, ""Product"", 3], [8, ""Product"", 1], [9, ""Product"", 5], [10, ""Product"", 1], [11, ""Environment"", 1], [12, ""Environment"", 5], [13, ""Environment"", 3], [14, ""Environment"", 5], [15, ""Environment"", 3], [16, ""Environment"", 3], [17, ""Environment"", 1], [18, ""Environment"", 3], [19, ""Environment"", 3], [20, ""Environment"", 5]]"
