kpi_metric_id,task_id,resource_ids,task_weight,resource_weight
1,1,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.2219418807728546,"[0.06540512293577194, 0.06609304249286652, 0.02489307150244713, 0.06759409606456757, 0.03468462452292442, 0.05068663880228996, 0.05944640561938286, 0.06595954298973083, 0.0926656424999237, 0.017384681850671768, 0.05419682711362839, 0.012641730718314648, 0.023928100243210793, 0.0637742206454277, 0.07194461673498154, 0.09237948060035706, 0.025693614035844803, 0.014217102900147438, 0.038036003708839417, 0.06855624914169312]"
1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.1657409290139544,"[0.06420496106147766, 0.06590330600738525, 0.029847577214241028, 0.034888893365859985, 0.024581868201494217, 0.045035552233457565, 0.07899664342403412, 0.0137704536318779, 0.03207230567932129, 0.02257051132619381, 0.016513565555214882, 0.09320162236690521, 0.06041630357503891, 0.0708794817328453, 0.08663555234670639, 0.020204083994030952, 0.039159294217824936, 0.0967145785689354, 0.058427296578884125, 0.07819204777479172]"
1,3,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.4509756208732486,"[0.060015201568603516, 0.05385056883096695, 0.06560834497213364, 0.06209476664662361, 0.06730813533067703, 0.06718337535858154, 0.07263457775115967, 0.04740702360868454, 0.03990820422768593, 0.0443304218351841, 0.01961304247379303, 0.04078508913516998, 0.045407891273498535, 0.06579264253377914, 0.015744874253869057, 0.0650017261505127, 0.052760690450668335, 0.06591501832008362, 0.0214036013931036, 0.05184803530573845]"
1,4,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.1613415693399423,"[0.055794380605220795, 0.05888720601797104, 0.07092505693435669, 0.06980941444635391, 0.08514975756406784, 0.05921224504709244, 0.06303054839372635, 0.010710244998335838, 0.04667215049266815, 0.07882952690124512, 0.08750658482313156, 0.03544744849205017, 0.026541829109191895, 0.04258367791771889, 0.02882928028702736, 0.024336062371730804, 0.027597447857260704, 0.07531696557998657, 0.07270149886608124, 0.03224147856235504]"
2,5,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.2148026828835411,"[0.08767756819725037, 0.02409234084188938, 0.07235287129878998, 0.016341717913746834, 0.018995480611920357, 0.02499321661889553, 0.03771974891424179, 0.07324101030826569, 0.059093691408634186, 0.06229937821626663, 0.04566308110952377, 0.03049190156161785, 0.0545487180352211, 0.08700066804885864, 0.07562264055013657, 0.07893265038728714, 0.02932884730398655, 0.08930991590023041, 0.010988747701048851, 0.06175927072763443]"
2,6,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.4378952946796354,"[0.08522148430347443, 0.03126300871372223, 0.07546010613441467, 0.03836529701948166, 0.08580987900495529, 0.04051634669303894, 0.022757677361369133, 0.08514538407325745, 0.029930241405963898, 0.028264271095395088, 0.0445047952234745, 0.07482419162988663, 0.05180550366640091, 0.0638592392206192, 0.06235269457101822, 0.018797367811203003, 0.04870793968439102, 0.04908565804362297, 0.02100435271859169, 0.0779276117682457]"
2,7,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.0732201668494727,"[0.004827198572456837, 0.03921038284897804, 0.08313971757888794, 0.03480350226163864, 0.07784666121006012, 0.039722371846437454, 0.034099411219358444, 0.041502103209495544, 0.035690829157829285, 0.020683106034994125, 0.04413334280252457, 0.05559484660625458, 0.03692280873656273, 0.10655611753463745, 0.08125291764736176, 0.010565895587205887, 0.06121167168021202, 0.053277358412742615, 0.04122030735015869, 0.11192750930786133]"
2,8,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.2740818555873507,"[0.02382063865661621, 0.026847880333662033, 0.031473517417907715, 0.07854651659727097, 0.04528181999921799, 0.06165163591504097, 0.07315132766962051, 0.07700610905885696, 0.045396238565444946, 0.055949389934539795, 0.07250237464904785, 0.04443390667438507, 0.08439253270626068, 0.025818482041358948, 0.017934782430529594, 0.03783567249774933, 0.05711924657225609, 0.06942402571439743, 0.07519294321537018, 0.06590839475393295]"
3,9,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.5634087828773706,"[0.023118821904063225, 0.0715254470705986, 0.0628407821059227, 0.06931756436824799, 0.06342657655477524, 0.049653977155685425, 0.06783659756183624, 0.05950438976287842, 0.047273941338062286, 0.0616607666015625, 0.02402408793568611, 0.010376117192208767, 0.0798577070236206, 0.09967736899852753, 0.051468007266521454, 0.04660885035991669, 0.04339107871055603, 0.08745774626731873, 0.02926713041961193, 0.027250150218605995]"
3,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.351367840439672,"[0.029717709869146347, 0.019477736204862595, 0.06570526212453842, 0.07709506154060364, 0.04037010669708252, 0.045385073870420456, 0.06683072447776794, 0.07222367823123932, 0.022281398996710777, 0.08478441089391708, 0.04336259886622429, 0.0269789919257164, 0.060412295162677765, 0.05577273666858673, 0.01870771497488022, 0.029743891209363937, 0.008883386850357056, 0.0665721595287323, 0.07816484570503235, 0.09212528169155121]"
