Task_ID,af_5,af_6,af_7,af_8
1,4,3,1,5
2,4,3,1,5
3,4,3,1,5
4,3,2,1,5
5,3,2,1,5
6,3,2,1,5
7,4,3,1,5
8,4,3,1,5
9,4,3,1,5
10,4,3,1,5
11,4,3,1,5
12,4,3,1,5
13,4,3,1,5
14,4,3,1,5
15,4,3,1,5
16,3,2,1,5
17,3,2,1,5
18,3,2,1,5
19,3,2,1,5
20,3,2,1,5
21,3,2,1,5
22,3,2,1,5
23,3,2,1,5
24,3,2,1,5
25,4,3,1,5
26,4,3,1,5
27,4,3,1,5
28,4,3,1,5
29,4,3,1,5
30,4,3,1,5
31,4,3,1,5
32,4,3,1,5
33,4,3,1,5
34,4,3,1,5
35,4,3,1,5
36,4,3,1,5
37,4,3,1,5
38,4,3,1,5
39,4,3,1,5
40,4,3,1,5
41,4,3,1,5
42,4,3,1,5
43,4,3,1,5
44,4,3,1,5
45,4,3,1,5
46,4,3,1,5
47,4,3,1,5
48,4,3,1,5
