TaskId,resource_ids,metric_id
1,"[5,4,9,11]",1
2,"[9,8,4,3]",1
3,"[6,10,7,5]",1
4,"[11,7,9,8]",2
5,"[3,5,6,10]",2
6,"[4]",2
7,"[2]",3
8,"[3]",3
9,"[6]",3
10,"[1]",4
11,"[2]",4
12,"[3]",4
13,"[1]",5
14,"[10,7,8,5]",5
15,"[3]",5
16,"[8,9,4,10]",6
17,"[9,10,6,8]",6
18,"[7]",6
19,"[5,11,4,8]",7
20,"[11,7,6,8]",7
21,"[5]",7
22,"[11,6,7,8]",8
23,"[5,9,6,8]",8
24,"[3]",8
25,"[7,10,8,5]",9
26,"[3,4,6,11]",9
27,"[4]",9
28,"[6,11,3,9]",10
29,"[7,10,8,4]",10
30,"[6]",10
31,"[2,3,10,8]",11
32,"[10,8,9,7]",11
33,"[3]",11
34,"[9,5,4,6]",12
35,"[10,7,8,4]",12
36,"[7]",12
37,"[1,2,7,10]",13
38,"[3,5,6,8]",13
39,"[6]",13
40,"[5,9,4,10]",14
41,"[6,11,7,5]",14
42,"[11]",14
43,"[1,2,10,6]",15
44,"[2,10,6,3]",15
45,"[4]",15
46,"[9,10,3,7]",16
47,"[3,6,8,9]",16
48,"[7]",16
