kpi_metric_id,task_id,resource_ids,task_weight,resource_weight
1,1,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]",0.3609822410012197,"[0.009275036863982677, 0.021746736019849777, 0.025250723585486412, 0.04205739498138428, 0.04254864528775215, 0.0037562064826488495, 0.02505122497677803, 0.016621867194771767, 0.02907838299870491, 0.015792762860655785, 0.03496919572353363, 0.016576293855905533, 0.008945085108280182, 0.011532004922628403, 0.017625030130147934, 0.017022620886564255, 0.01771358586847782, 0.023845544084906578, 0.014930101111531258, 0.029337789863348007, 0.02230716310441494, 0.017078947275877, 0.01472723949700594, 0.016017986461520195, 0.03271181136369705, 0.007771100848913193, 0.03978510573506355, 0.016308236867189407, 0.00403626449406147, 0.004184444900602102, 0.020685384050011635, 0.008973516523838043, 0.01380197238177061, 0.021978184580802917, 0.01929928921163082, 0.03672568500041962, 0.014345905743539333, 0.014142975211143494, 0.022790521383285522, 0.03908279910683632, 0.02477196231484413, 0.040397871285676956, 0.042808353900909424, 0.023123934864997864, 0.020732421427965164, 0.017919376492500305, 0.013411988504230976, 0.03972112387418747, 0.01660601980984211, 0.02457619085907936]"
1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]",0.2631043078080868,"[0.0312117338180542, 0.02282293327152729, 0.02495114877820015, 0.03751334547996521, 0.009612415917217731, 0.010223209857940674, 0.024688437581062317, 0.019728675484657288, 0.002325756009668112, 0.01799215003848076, 0.011123759672045708, 0.018751069903373718, 0.0338711254298687, 0.006797254551202059, 0.008264681324362755, 0.03572462126612663, 0.011388944461941719, 0.017354071140289307, 0.028636185452342033, 0.01474032923579216, 0.00824845489114523, 0.03024883382022381, 0.010355290025472641, 0.01610415056347847, 0.03232242912054062, 0.029268445447087288, 0.02981007657945156, 0.03556014597415924, 0.03419151157140732, 0.01540730893611908, 0.007028190419077873, 0.023218359798192978, 0.04462144523859024, 0.016353419050574303, 0.017775824293494225, 0.024857062846422195, 0.027036532759666443, 0.041948385536670685, 0.014642677269876003, 0.0234060101211071, 0.014413170516490936, 0.0041131190955638885, 0.02367037534713745, 0.01275906153023243, 0.03131600096821785, 0.014474324882030487, 0.011802395805716515, 0.01930418238043785, 0.022787809371948242, 0.03303370624780655]"
1,3,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]",0.0653275410081132,"[0.02699674665927887, 0.03508327156305313, 0.002970313187688589, 0.012843437492847443, 0.014057205989956856, 0.03235666826367378, 0.007596800569444895, 0.023124679923057556, 0.03108065389096737, 0.014657273888587952, 0.0330989807844162, 0.02041807770729065, 0.03891061618924141, 0.020620085299015045, 0.02657238021492958, 0.03433406725525856, 0.014136722311377525, 0.023688150569796562, 0.024214645847678185, 0.023635877296328545, 0.008946822956204414, 0.03360273689031601, 0.006628468167036772, 0.003335287794470787, 0.02182663604617119, 0.01933657005429268, 0.018497223034501076, 0.013568376190960407, 0.023577626794576645, 0.006613896694034338, 0.01895003579556942, 0.019062981009483337, 0.02439972758293152, 0.018682708963751793, 0.03218015283346176, 0.013886895962059498, 0.030594602227211, 0.005982853937894106, 0.012346846051514149, 0.03816259279847145, 0.017195837572216988, 0.016013748943805695, 0.03464333340525627, 0.018918301910161972, 0.03269970789551735, 0.01301287766546011, 0.015089334920048714, 0.031131424009799957, 0.0071147745475173, 0.016458753496408463]"
1,4,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]",0.2958195414613622,"[0.013466808013617992, 0.014800410717725754, 0.00912132952362299, 0.026363331824541092, 0.02068456821143627, 0.012459978461265564, 0.008676370605826378, 0.03504529595375061, 0.01007147878408432, 0.00607991823926568, 0.026214078068733215, 0.019661221653223038, 0.019765689969062805, 0.03609955310821533, 0.01747281290590763, 0.01520563941448927, 0.03214828670024872, 0.015301238745450974, 0.03339223563671112, 0.010194898582994938, 0.009486799128353596, 0.0074929785914719105, 0.0233262050896883, 0.016720306128263474, 0.021295763552188873, 0.023663759231567383, 0.03156866878271103, 0.03337600827217102, 0.010348171927034855, 0.018037687987089157, 0.015688113868236542, 0.025526700541377068, 0.02173997089266777, 0.007596071343868971, 0.030529199168086052, 0.01457702461630106, 0.010297557339072227, 0.016323385760188103, 0.03614266216754913, 0.02866513654589653, 0.028708722442388535, 0.015055738389492035, 0.03659067675471306, 0.013668333180248737, 0.01990409754216671, 0.032271161675453186, 0.026126869022846222, 0.01155545748770237, 0.022740263491868973, 0.019746411591768265]"
1,5,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]",0.014766368721218,"[0.009275036863982677, 0.021746736019849777, 0.025250723585486412, 0.04205739498138428, 0.04254864528775215, 0.0037562064826488495, 0.02505122497677803, 0.016621867194771767, 0.02907838299870491, 0.015792762860655785, 0.03496919572353363, 0.016576293855905533, 0.008945085108280182, 0.011532004922628403, 0.017625030130147934, 0.017022620886564255, 0.01771358586847782, 0.023845544084906578, 0.014930101111531258, 0.029337789863348007, 0.02230716310441494, 0.017078947275877, 0.01472723949700594, 0.016017986461520195, 0.03271181136369705, 0.007771100848913193, 0.03978510573506355, 0.016308236867189407, 0.00403626449406147, 0.004184444900602102, 0.020685384050011635, 0.008973516523838043, 0.01380197238177061, 0.021978184580802917, 0.01929928921163082, 0.03672568500041962, 0.014345905743539333, 0.014142975211143494, 0.022790521383285522, 0.03908279910683632, 0.02477196231484413, 0.040397871285676956, 0.042808353900909424, 0.023123934864997864, 0.020732421427965164, 0.017919376492500305, 0.013411988504230976, 0.03972112387418747, 0.01660601980984211, 0.02457619085907936]"
2,6,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]",0.1308064537578903,"[0.01192991342395544, 0.03016543947160244, 0.013282106257975101, 0.005522265564650297, 0.023855555802583694, 0.027393363416194916, 0.020326431840658188, 0.01944788545370102, 0.03207247704267502, 0.013910776935517788, 0.005791801959276199, 0.027949344366788864, 0.006866541691124439, 0.017878755927085876, 0.01493083219975233, 0.018514428287744522, 0.01592431217432022, 0.014837317168712616, 0.025478843599557877, 0.011381614953279495, 0.019015038385987282, 0.028259731829166412, 0.030686242505908012, 0.016948148608207703, 0.04202902317047119, 0.03126579523086548, 0.020055174827575684, 0.032531317323446274, 0.02406357042491436, 0.020531486719846725, 0.019175080582499504, 0.03414590284228325, 0.0268437210470438, 0.01737108826637268, 0.039112940430641174, 0.028915109112858772, 0.012667020782828331, 0.006569368299096823, 0.010124433785676956, 0.011693847365677357, 0.0121916513890028, 0.0289456769824028, 0.025958530604839325, 0.027203703299164772, 0.02562805265188217, 0.013481964357197285, 0.009632354602217674, 0.03594723716378212, 0.017772017046809196, 0.007619897369295359]"
2,7,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]",0.1205510545550042,"[0.04240163788199425, 0.009241370484232903, 0.005917135160416365, 0.010116223245859146, 0.03837478533387184, 0.019344212487339973, 0.02808932028710842, 0.0096601452678442, 0.0102459117770195, 0.029769713059067726, 0.010574551299214363, 0.022935843095183372, 0.00786715280264616, 0.009756345301866531, 0.010702643543481827, 0.021156979724764824, 0.02648315019905567, 0.006428230553865433, 0.01436412800103426, 0.03582662343978882, 0.02897966094315052, 0.008248046040534973, 0.03942522406578064, 0.02239377051591873, 0.03230563551187515, 0.0060943192802369595, 0.019315222278237343, 0.018823105841875076, 0.03037748485803604, 0.01931450515985489, 0.028626952320337296, 0.018459752202033997, 0.011870114132761955, 0.009317157790064812, 0.0407167449593544, 0.011619655415415764, 0.001674101920798421, 0.029924597591161728, 0.008112999610602856, 0.034165069460868835, 0.021665384992957115, 0.02674984745681286, 0.030586810782551765, 0.026661111041903496, 0.04576999694108963, 0.02765646204352379, 0.011561470106244087, 0.02228105254471302, 0.017984412610530853, 0.02854221686720848]"
2,8,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]",0.231043416776822,"[0.012838774360716343, 0.03769350051879883, 0.017234541475772858, 0.013153614476323128, 0.002432331210002303, 0.0494445264339447, 0.005202467553317547, 0.007637461647391319, 0.014641987159848213, 0.03667658194899559, 0.019408147782087326, 0.03654563054442406, 0.017806772142648697, 0.012472197413444519, 0.014227968640625477, 0.018611371517181396, 0.01022984366863966, 0.042120207101106644, 0.020434554666280746, 0.02471887320280075, 0.005262198857963085, 0.014269029721617699, 0.027879584580659866, 0.02021907828748226, 0.03765206038951874, 0.027142692357301712, 0.019160196185112, 0.010067329742014408, 0.018366873264312744, 0.010113053023815155, 0.02405254729092121, 0.0049756113439798355, 0.019490379840135574, 0.027318816632032394, 0.008193573914468288, 0.03967206925153732, 0.03037819266319275, 0.009955902583897114, 0.04085342586040497, 0.009910774417221546, 0.008024276234209538, 0.02210770547389984, 0.011932185851037502, 0.025468146428465843, 0.01923866756260395, 0.027991797775030136, 0.03283674642443657, 0.024240247905254364, 0.030899517238140106, 0.00903420988470316]"
2,9,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]",0.2576486093863803,"[0.023931834846735, 0.015962060540914536, 0.032126717269420624, 0.023651650175452232, 0.030811818316578865, 0.02374601736664772, 0.017227601259946823, 0.029020041227340698, 0.02227659709751606, 0.009395317174494267, 0.020186491310596466, 0.03528263047337532, 0.006225402932614088, 0.0050248149782419205, 0.005683946888893843, 0.012373173609375954, 0.00787198357284069, 0.030124442651867867, 0.02219388820230961, 0.03681277111172676, 0.027141805738210678, 0.012631017714738846, 0.0023670904338359833, 0.02722265012562275, 0.026147926226258278, 0.029705625027418137, 0.05014956742525101, 0.028489593416452408, 0.016354653984308243, 0.020807189866900444, 0.01619667187333107, 0.013756101951003075, 0.021203063428401947, 0.01063904631882906, 0.022068403661251068, 0.019651079550385475, 0.007500162348151207, 0.03236360475420952, 0.04540831595659256, 0.006869550794363022, 0.029744379222393036, 0.043099164962768555, 0.03755256533622742, 0.011606600135564804, 0.01333953533321619, 0.03717993572354317, 0.005129196215420961, 0.01130053773522377, 0.009101370349526405, 0.03247890621423721]"
2,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]",0.259950465523903,"[0.01192991342395544, 0.03016543947160244, 0.013282106257975101, 0.005522265564650297, 0.023855555802583694, 0.027393363416194916, 0.020326431840658188, 0.01944788545370102, 0.03207247704267502, 0.013910776935517788, 0.005791801959276199, 0.027949344366788864, 0.006866541691124439, 0.017878755927085876, 0.01493083219975233, 0.018514428287744522, 0.01592431217432022, 0.014837317168712616, 0.025478843599557877, 0.011381614953279495, 0.019015038385987282, 0.028259731829166412, 0.030686242505908012, 0.016948148608207703, 0.04202902317047119, 0.03126579523086548, 0.020055174827575684, 0.032531317323446274, 0.02406357042491436, 0.020531486719846725, 0.019175080582499504, 0.03414590284228325, 0.0268437210470438, 0.01737108826637268, 0.039112940430641174, 0.028915109112858772, 0.012667020782828331, 0.006569368299096823, 0.010124433785676956, 0.011693847365677357, 0.0121916513890028, 0.0289456769824028, 0.025958530604839325, 0.027203703299164772, 0.02562805265188217, 0.013481964357197285, 0.009632354602217674, 0.03594723716378212, 0.017772017046809196, 0.007619897369295359]"
